,count,mean,std,min,25%,50%,75%,max
lat,181201.0,35.697,1.404,34.066,34.066,36.7,36.785,37.3
lon,181201.0,-119.425,1.25,-121.9,-119.8,-119.773,-118.227,-118.2
pm25_ug_m3,181201.0,13.815,11.724,0.0,6.9,11.0,17.0,328.8
pm10_ug_m3,181123.0,27.751,23.603,0.0,13.4,22.3,35.0,863.0
target_aqi,181200.0,54.789,26.192,0.0,38.333,54.54,65.719,459.363
us_aqi_official,78912.0,53.612,23.944,11.422,36.84,48.924,63.422,265.158
temperature_2m,181201.0,17.781,8.096,-2.6,11.95,16.65,22.8,47.7
relative_humidity_2m,181201.0,60.265,25.172,3.0,40.0,63.0,82.23,100.0
rain,181201.0,0.059,0.427,0.0,0.0,0.0,0.0,18.9
cloud_cover,181201.0,36.66,42.381,0.0,0.0,9.0,91.0,100.0
wind_speed_10m,181201.0,8.167,5.165,0.0,4.3,7.2,10.973,45.572
wind_direction_10m,181201.0,208.306,103.357,0.843,120.256,220.601,310.0,360.0
surface_pressure,181201.0,1005.176,5.434,983.7,1001.217,1004.458,1008.7,1030.117
hour,181201.0,11.496,6.915,0.0,6.0,11.0,17.0,23.0
dayofweek,181201.0,2.986,1.997,0.0,1.0,3.0,5.0,6.0
month,181201.0,6.702,3.487,1.0,4.0,7.0,10.0,12.0
year,181201.0,2022.256,2.269,2018.0,2020.0,2023.0,2024.0,2025.0
