hour,count,mean,median,std,min,max
0,7507,47.585,50.0,23.063,0.0,280.081
1,7507,48.969,51.0,23.579,0.0,298.117
2,7552,51.673,52.677,24.461,0.0,283.153
3,7581,54.404,53.981,25.143,0.0,288.554
4,7565,56.668,55.099,26.492,0.0,381.875
5,7557,58.297,56.03,27.367,0.0,389.843
6,7559,59.267,56.403,28.24,0.0,387.054
7,7552,59.413,56.776,28.565,0.0,367.732
8,7552,59.173,56.403,28.469,0.0,367.533
9,7563,58.033,56.03,28.032,0.0,367.533
10,7575,56.724,54.913,27.509,0.0,351.397
11,7579,55.62,54.54,26.979,0.0,335.262
12,7590,54.165,54.354,26.132,0.0,312.222
13,7603,53.972,54.167,25.613,0.0,294.219
14,7558,55.217,54.54,26.075,0.0,459.363
15,7527,57.205,56.217,26.019,0.0,306.644
16,7533,58.107,56.403,26.127,0.0,246.486
17,7541,57.633,56.217,26.018,0.0,255.703
18,7536,56.117,55.471,25.849,0.0,311.956
19,7545,54.417,54.726,25.592,0.0,279.189
20,7537,52.876,53.981,25.089,0.0,231.754
21,7537,51.343,53.049,24.37,0.0,244.075
22,7528,49.677,52.118,23.676,0.0,256.396
23,7516,48.244,51.186,23.206,0.0,286.919
