month,count,mean,median,std,min,max
1,15792,58.71,56.403,30.905,0.0,311.956
2,12336,52.314,53.422,26.007,0.0,164.319
3,14349,44.496,45.0,23.338,0.0,169.717
4,14210,49.745,52.304,22.871,0.0,178.339
5,14441,46.758,50.0,18.494,0.0,158.781
6,14699,50.081,52.677,17.882,0.0,153.454
7,14988,54.529,55.471,20.056,0.0,459.363
8,15118,58.224,55.658,26.516,0.0,283.153
9,15068,58.042,55.658,28.09,0.0,389.843
10,16878,57.815,56.03,26.08,0.0,221.712
11,16453,61.008,58.08,30.044,0.0,188.504
12,16868,62.059,60.129,30.453,0.0,188.854
